config,k,behavior_ndcg,behavior_align,behavior_tag_recall,behavior_domain_recall,samples
without_hot,5,0.379132,0.294059,0.177351,0.455493,20
without_hot,10,0.307068,0.200752,0.228229,0.567261,20
without_hot,20,0.30415,0.198043,0.432477,0.931279,20
with_hot,5,0.379132,0.294059,0.177351,0.455493,20
with_hot,10,0.322405,0.220138,0.251496,0.624969,20
with_hot,20,0.317885,0.210076,0.46875,0.941817,20
