config,k,behavior_ndcg,behavior_align,behavior_tag_recall,behavior_domain_recall,samples
without_hot,5,0.375626,0.287504,0.150034,0.349513,20
without_hot,10,0.320431,0.218044,0.194377,0.497655,20
without_hot,20,0.303365,0.195835,0.359235,0.755376,20
with_hot,5,0.381407,0.295539,0.155625,0.371707,20
with_hot,10,0.327003,0.225637,0.208463,0.50471,20
with_hot,20,0.312664,0.204144,0.385053,0.795614,20
