config,k,behavior_ndcg,behavior_align,behavior_tag_recall,behavior_domain_recall,samples
without_hot,5,0.382097,0.294059,0.177351,0.455493,20
without_hot,10,0.3129,0.204768,0.255888,0.603726,20
without_hot,20,0.301316,0.19269,0.445941,0.931279,20
with_hot,5,0.382371,0.294059,0.177351,0.455493,20
with_hot,10,0.33047,0.226394,0.274563,0.657608,20
with_hot,20,0.320281,0.210003,0.489126,0.944758,20
