config,k,behavior_ndcg,behavior_align,behavior_tag_recall,behavior_domain_recall,samples
without_hot,5,0.379132,0.294059,0.177351,0.455493,20
without_hot,10,0.310331,0.204705,0.235257,0.583807,20
without_hot,20,0.304553,0.198357,0.443046,0.931279,20
with_hot,5,0.379132,0.294059,0.177351,0.455493,20
with_hot,10,0.325668,0.224091,0.258524,0.641515,20
with_hot,20,0.318248,0.210336,0.473889,0.941817,20
