config,k,behavior_ndcg,behavior_align,behavior_tag_recall,behavior_domain_recall,samples
without_hot,5,0.368843,0.279452,0.146311,0.353545,20
without_hot,10,0.333769,0.234279,0.209984,0.524625,20
without_hot,20,0.311496,0.201856,0.348266,0.76602,20
with_hot,5,0.37494,0.287487,0.151903,0.375739,20
with_hot,10,0.341364,0.242156,0.213371,0.550798,20
with_hot,20,0.324048,0.214857,0.387146,0.806257,20
