config,k,behavior_ndcg,behavior_align,behavior_tag_recall,behavior_domain_recall,samples
without_hot,5,0.3712,0.2834,0.1489,0.3578,50
without_hot,10,0.3378,0.2389,0.2134,0.5289,50
without_hot,20,0.3145,0.2056,0.3523,0.7712,50
with_hot,5,0.3789,0.2912,0.1556,0.3812,50
with_hot,10,0.3456,0.2467,0.2178,0.5567,50
with_hot,20,0.3256,0.2167,0.3856,0.7923,50
