config,k,behavior_ndcg,behavior_align,behavior_tag_recall,behavior_domain_recall,samples
without_hot,5,0.39001,0.302835,0.179177,0.455493,20
without_hot,10,0.332694,0.226647,0.271872,0.647629,20
without_hot,20,0.314665,0.204512,0.437713,0.93569,20
with_hot,5,0.39001,0.302835,0.179177,0.455493,20
with_hot,10,0.345227,0.242284,0.281051,0.679165,20
with_hot,20,0.325246,0.213707,0.469168,0.944758,20
